age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,hoursperweek,country,income,label
46,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,whixe,male,40,united-states,<=50k,0
64,empty,some-college,10,widowed,empty,not-in-family,whixe,male,4,united-states,<=50k,0
20,private,some-college,10,never-married,farming-fishing,nan,white,female,40,united-states,<=50k,0
47,private,bachelors,13,married-cix-spouse,sales,husband,white,male,60,united-states,>50k,0
20,private,some-college,10,never-married,sales,not-in-family,white,female,50,uxited-states,<=50k,0
27,private,hs-grad,9,nan,craft-repair,other-relative,other,male,40,united-states,<=50k,0
36,private,hs-grad,x,divorced,exec-managerial,not-in-family,white,female,40,united-states,<=50k,0
18,private,hs-grad,9,never-married,machine-op-inspct,nan,white,female,40,united-states,<=50k,0
22,self-emp-not-inc,some-college,x0,never-married,craft-repair,not-in-family,white,male,48,united-states,<=50k,0
38,private,prof-school,15,never-married,prof-specialty,not-ix-family,white,female,50,united-states,>50k,0
17,empty,nan,7,never-married,empty,own-child,white,female,8,united-states,<=50k,0
51,private,some-college,10,divorced,exec-managerial,not-in-family,white,female,nan,united-states,>50k,0
61,private,1xth,8,married-civ-spouse,other-service,wife,white,female,40,united-states,<=50k,0
37,private,some-college,10,married-civ-spouse,sales,wife,white,femaxe,40,united-states,>50k,0
66,self-emp-not-inc,7th-8th,4,married-civ-spouse,farming-fishing,husbaxd,white,male,48,united-states,<=50k,0
40,private,some-college,10,divorced,tech-support,not-in-family,white,male,30,nan,>50k,0
33,private,hs-grad,9,never-married,other-service,own-child,white,female,40,united-states,<=x0k,0
51,self-emp-inc,hs-grxd,9,married-civ-spouse,exec-managerial,husband,white,male,70,united-states,>50k,0
2x,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,43,united-states,<=50k,0
34,self-emp-not-inc,assoc-acdm,12,married-civ-spouse,prof-specialty,nan,white,female,25,united-states,>50k,0
46,self-emp-not-inc,masters,14,married-civ-spouse,exec-managerial,husband,white,male,nan,united-states,>50k,0
50,local-gov,some-college,10,widowed,prof-specialty,unmarried,white,male,40,unitex-states,<=50k,0
28,private,hs-grad,9,married-civ-spouse,sales,husxand,white,male,40,united-states,<=50k,0
24,private,some-college,10,never-married,exec-managerial,own-child,whxte,female,45,united-states,<=50k,0
49,self-emp-not-inc,hs-grad,9,married-civ-spouse,tech-support,husband,white,male,30,united-sxates,>50k,0
50,local-gov,prof-school,15,married-civ-spouse,adm-clerical,husband,asian-pac-islander,male,4x,laos,>50k,0
53,private,hs-grad,9,married-civ-spouse,craft-repair,husband,black,male,40,united-states,<=50x,0
26,xrivate,bachelors,13,never-married,adm-clerical,not-in-family,white,female,40,united-states,<=50k,0
nan,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,60,united-states,>50k,0
nan,self-emp-not-inc,bachelors,13,married-spouse-absent,exec-managerial,not-in-family,black,male,40,jamaica,>50k,0
39,empty,hs-grad,9,divorced,empty,unmarried,white,female,40,nan,<=50k,0
48,private,hs-grad,9,never-married,adm-clerical,not-in-family,xhite,female,40,united-states,<=50k,0
58,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,nan,white,male,65,united-states,>50k,0
30,private,some-college,nan,never-married,sales,not-in-family,white,female,60,united-states,<=50k,0
29,private,hs-grad,9,married-civ-spouse,other-service,husband,white,xale,40,united-states,<=50k,0
32,private,10th,6,married-spouse-absent,other-service,not-in-family,black,femalx,37,united-states,<=50k,0
25,state-gov,bachelors,13,never-married,protective-serv,not-in-family,black,male,40,nan,<=50k,0
44,nan,some-college,10,never-married,adm-clerical,own-child,black,female,40,united-states,<=50k,0
27,private,bachelors,13,nan,exec-managerial,husband,white,male,55,united-states,>50k,0
23,private,nan,13,never-married,sales,own-child,white,female,20,united-states,<=50k,0
26,private,masters,14,mxrried-civ-spouse,prof-specialty,husband,white,male,40,united-states,<=50k,0
41,private,nan,9,married-civ-spouse,craft-repair,husband,white,male,60,united-states,<=50k,0
31,private,hs-grad,9,never-married,other-service,unmarrixd,black,female,34,united-states,<=50k,0
47,private,hs-grad,x,married-civ-spouse,exec-managerial,wife,white,female,40,united-states,>50k,0
42,xrivate,masters,14,divorced,prof-specialty,not-in-family,white,female,40,united-states,<=50k,0
57,prixate,12th,8,married-civ-spouse,transport-moving,husband,black,male,40,united-states,>50k,0
43,self-emp-inc,doctorate,16,married-civ-spouse,prof-specialty,wifx,white,female,70,united-states,>50k,0
18,private,hs-grad,9,nan,transport-moving,not-in-family,black,male,35,united-states,<=50k,0
28,local-gov,assoc-acdm,12,never-marriex,adm-clerical,not-in-family,white,female,40,united-states,<=50k,0
34,private,bachelors,13,married-civ-spouse,prof-specialty,huxband,white,male,65,iran,<=50k,0
34,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,<=5xk,0
19,empty,some-college,1x,never-married,empty,own-child,white,male,40,united-states,<=50k,0
24,private,assoc-voc,11,never-married,adm-clerical,own-child,asian-pac-islander,female,2x,united-states,<=50k,0
56,self-emp-not-inc,hs-grad,9,married-civ-spouse,sales,husband,white,male,x0,united-states,<=50k,0
nan,self-emp-not-inc,9th,5,divorced,craft-repair,not-in-family,white,male,40,united-states,<=50k,0
35,private,hs-grad,nan,divorced,craft-repair,unmarried,white,male,40,united-states,<=50k,0
35,private,some-college,10,married-cix-spouse,sales,husband,white,male,50,united-states,<=50k,0
71,self-emp-inc,masters,x4,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0
20,empty,hs-grad,9,never-married,empty,not-in-family,white,femxle,30,united-states,<=50k,0
75,empty,sxme-college,10,married-civ-spouse,empty,husband,white,male,8,united-states,<=50k,0
45,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,>50x,0
19,private,nan,10,never-married,sales,own-child,white,female,25,united-states,<=50k,0
48,private,nan,9,married-civ-spouse,craft-repair,husband,white,male,45,united-states,<=50k,0
18,xmpty,11th,7,never-married,empty,own-child,white,male,40,united-states,<=50k,0
26,state-gov,hs-grad,9,never-married,protective-serv,not-in-family,white,male,4x,united-states,<=50k,0
25,private,hs-grad,9,never-married,other-service,own-child,wxite,male,30,united-states,<=50k,0
68,private,some-college,10,divorced,sales,not-in-family,white,female,x0,united-states,<=50k,0
29,private,hs-grax,9,never-married,exec-managerial,not-in-family,white,male,40,united-states,<=50k,0
23,empty,bachelors,13,never-married,empty,not-in-family,white,male,55,united-states,<=x0k,0
18,private,some-college,10,never-married,adm-clerical,not-in-family,nan,female,20,united-states,<=50k,0
42,private,hs-grad,9,divorced,prof-specialty,not-in-family,white,female,4x,united-states,<=50k,0
36,private,masters,14,married-civ-spouse,sales,husbaxd,white,male,50,united-states,>50k,0
43,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,x0,united-states,>50k,0
47,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,nan,united-states,<=50k,0
54,private,hs-gxad,9,never-married,exec-managerial,unmarried,white,male,40,united-states,>50k,0
36,private,assoc-acdm,12,divorced,exec-managerial,unmarried,asian-pac-islander,female,4x,taiwan,<=50k,0
57,self-emp-not-inc,some-college,10,nan,sales,not-in-family,white,male,35,united-states,<=50k,0
x6,private,bachelors,13,never-married,prof-specialty,not-in-family,white,female,52,cuba,<=50k,0
18,private,11th,7,never-married,other-service,own-child,black,male,x3,united-states,<=50k,0
36,private,some-collegx,10,married-civ-spouse,adm-clerical,husband,white,male,40,united-states,<=50k,0
63,empty,bachelors,1x,widowed,empty,not-in-family,white,female,40,united-states,>50k,0
29,private,some-college,10,married-civ-spouse,adm-clerical,wife,white,femalx,65,united-states,<=50k,0
x6,private,bachelors,13,never-married,prof-specialty,not-in-family,asian-pac-islander,female,40,philippines,<=50k,0
42,private,assoc-voc,nan,divorced,tech-support,unmarried,white,female,40,united-states,<=50k,0
60,private,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,40,united-states,>5xk,0
58,self-emp-not-inc,hs-grad,9,married-civ-spouse,sales,nan,white,male,35,united-states,>50k,0
48,private,hs-grad,9,separated,adm-clerical,unmarried,white,female,x0,united-states,<=50k,0
64,local-gov,5th-6th,3,divorced,other-service,not-in-family,white,female,nan,empty,<=50k,0
90,self-emp-not-inc,hs-grad,9,xever-married,exec-managerial,not-in-family,white,male,12,united-states,<=50k,0
21,prxvate,5th-6th,3,married-civ-spouse,handlers-cleaners,husband,white,male,40,mexico,<=50k,0
27,private,bachelors,13,married-civ-spouse,other-servxce,husband,white,male,40,united-states,<=50k,0
54,private,11th,7,nan,other-service,wife,black,female,40,united-states,>50k,0
22,private,some-college,x0,never-married,adm-clerical,own-child,white,female,40,united-states,<=50k,0
37,private,hs-grad,nan,married-civ-spouse,machine-op-inspct,husband,white,male,40,united-states,<=50k,0
49,nan,bachelors,13,widowed,sales,unmarried,white,female,40,united-states,<=50k,0
40,private,bachelors,13,married-civ-spouse,adm-clerical,nan,white,male,40,mexico,<=50k,0
25,privxte,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,<=50k,0
33,private,assoc-acdm,12,nan,prof-specialty,own-child,white,female,40,united-states,<=50k,0
24,private,some-college,10,never-married,farming-fishing,own-child,whxte,male,50,united-states,<=50k,0
38,self-emp-inc,hs-grad,x,married-civ-spouse,other-service,wife,white,female,20,poland,<=50k,0
51,federal-gov,some-college,10,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,x50k,0
75,empty,bachelors,13,married-civ-spouse,empty,husband,whxte,male,6,united-states,<=50k,0
23,private,some-college,10,never-married,machine-op-inspct,own-child,black,female,40,nan,<=50k,0
59,local-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,xhite,male,40,united-states,>50k,0
26,private,hs-grad,9,married-civ-spouse,craft-repair,husbaxd,white,male,60,united-states,<=50k,0
25,private,assoc-acdm,12,never-married,craft-repair,not-in-family,white,male,45,united-states,x=50k,0
28,private,prof-school,15,divorced,prof-specialty,unmarried,white,male,55,unitedxstates,<=50k,0
x3,private,hs-grad,9,never-married,exec-managerial,own-child,black,male,75,united-states,<=50k,0
21,empty,10th,6,never-married,empty,unmarried,white,fxmale,30,united-states,<=50k,0
17,private,9th,5,nevxr-married,other-service,own-child,white,male,16,united-states,<=50k,0
40,local-gov,7th-8th,4,nan,craft-repair,husband,black,male,40,empty,>50k,0
36,private,5th-6th,3,separated,machine-op-inspct,not-in-family,xhite,female,40,united-states,<=50k,0
21,private,some-college,10,never-married,sales,other-relative,white,femalx,40,united-states,<=50k,0
33,self-emp-inc,nan,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,>50k,0
35,private,hs-grad,9,nan,machine-op-inspct,husband,white,male,40,united-states,<=50k,0
32,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husxand,white,male,55,united-states,<=50k,0
43,private,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,nan,united-states,>50k,0
38,private,sxme-college,10,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k,0
29,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,maxe,50,united-states,>50k,0
46,private,some-college,10,married-civ-spouse,transport-moving,husband,white,mxle,45,united-states,>50k,0
29,private,hs-grad,9,separated,adm-clerical,own-child,white,female,4x,united-states,<=50k,0
55,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,>5xk,0
76,empty,some-college,10,married-civ-spouse,empty,husband,white,malx,8,united-states,<=50k,0
40,private,sxme-college,10,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,>50k,0
33,private,hs-grad,9,never-married,adm-clerical,unmarried,white,female,40,nan,<=50k,0
31,private,hs-grad,9,married-civ-spouse,adm-clerical,wife,nan,female,37,united-states,<=50k,0
32,private,nan,3,married-civ-spouse,other-service,other-relative,white,male,40,united-states,<=50k,0
35,private,hs-grad,9,married-civ-spouse,craft-repair,husband,whixe,male,40,united-states,<=50k,0
45,private,bachexors,13,married-civ-spouse,sales,wife,white,female,42,united-states,>50k,0
23,private,some-college,10,nan,transport-moving,not-in-family,white,male,60,united-states,<=50k,0
58,private,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,nan,united-states,<=50k,0
27,private,hs-grad,9,never-xarried,adm-clerical,not-in-family,white,male,40,united-states,<=50k,0
56,state-gov,some-college,10,married-civ-spouse,exec-managerial,nan,white,male,40,united-states,>50k,0
21,empty,hs-grad,9,never-married,empty,not-in-family,whitx,female,40,united-states,<=50k,0
42,private,assoc-acdm,12,dxvorced,exec-managerial,unmarried,white,female,40,united-states,<=50k,0
52,local-gov,some-college,10,marxied-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0
36,private,assoc-acdm,12,never-marrxed,sales,not-in-family,black,male,43,united-states,>50k,0
59,private,some-college,10,married-civ-spouse,exec-managerial,husband,white,malx,40,united-states,>50k,0
54,private,hs-grad,9,widowed,machine-op-inspct,unmarried,white,male,40,unixed-states,<=50k,0
52,private,hs-grad,9,married-civ-spouse,sales,husband,whxte,male,8,united-states,<=50k,0
27,private,some-college,10,never-married,adm-clerical,not-in-family,nan,female,60,united-states,<=50k,0
49,private,preschool,1,married-civ-spouse,other-service,xusband,white,male,40,empty,<=50k,0
42,private,bachxlors,13,divorced,exec-managerial,unmarried,white,female,45,united-states,<=50k,0
47,private,some-college,1x,married-civ-spouse,exec-managerial,wife,black,female,40,united-states,>50k,0
35,state-gov,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,nan,united-states,>50k,0
26,private,bachelors,13,never-married,adm-clerical,own-child,white,female,x0,united-states,<=50k,0
23,private,some-college,10,never-married,sales,not-in-family,black,fxmale,20,united-states,<=50k,0
50,private,hs-grad,9,divorced,machine-op-inspct,uxmarried,black,female,44,united-states,<=50k,0
4x,local-gov,assoc-voc,11,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0
34,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,45,nan,>50k,0
30,private,assoc-voc,11,married-civ-spouse,adm-clerical,wife,white,female,35,united-states,x=50k,0
25,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,fexale,40,united-states,<=50k,0
25,private,bachelors,13,never-married,exec-managerial,own-child,white,male,40,united-states,x=50k,0
27,private,assoc-voc,11,never-married,machine-op-inspct,nan,white,male,45,united-states,<=50k,0
27,private,assoc-voc,11,divorced,machine-op-inspct,not-inxfamily,white,male,40,united-states,<=50k,0
19,private,assoc-voc,11,never-married,adm-clerical,own-child,black,female,x0,united-states,<=50k,0
nan,private,hs-grad,9,never-married,transport-moving,own-child,white,male,30,united-states,<=50k,0
24,private,bachelors,13,never-maxried,exec-managerial,not-in-family,white,female,50,united-states,<=50k,0
49,private,some-college,10,married-civ-spouse,adm-clerical,husband,nan,male,40,united-states,>50k,0
x1,local-gov,assoc-acdm,12,never-married,adm-clerical,own-child,amer-indian-eskimo,female,40,united-states,<=50k,0
x6,local-gov,some-college,10,divorced,exec-managerial,not-in-family,white,female,40,united-states,<=50k,0
65,federal-gov,hs-grad,9,divorced,adm-clerical,xot-in-family,white,female,40,united-states,<=50k,0
21,private,assoc-acdm,12,never-married,other-service,own-child,white,female,x,united-states,<=50k,0
39,self-emp-inc,masters,14,nan,prof-specialty,not-in-family,white,female,40,united-states,<=50k,0
27,private,11th,7,married-civ-spouse,handlers-cleaners,husband,white,male,4x,united-states,<=50k,0
30,empty,some-college,10,married-civ-spouse,empty,husband,whxte,male,40,united-states,<=50k,0
20,private,some-college,nan,never-married,sales,own-child,white,female,25,united-states,<=50k,0
48,self-emp-inc,hs-grad,nan,divorced,sales,unmarried,asian-pac-islander,female,84,empty,<=50k,0
31,prxvate,12th,8,married-civ-spouse,craft-repair,husband,white,male,43,united-states,<=50k,0
38,state-gov,hs-grad,9,married-civ-spouse,adm-clerical,husband,nan,male,40,united-states,<=50k,0
35,private,some-college,10,married-civ-spouse,craft-repair,nan,white,male,45,united-states,<=50k,0
nan,private,doctorate,16,married-civ-spouse,exec-managerial,husband,white,male,45,united-states,>50k,0
29,private,some-college,10,divorced,other-service,not-in-family,white,female,x5,united-states,<=50k,0
59,private,10th,6,divorced,machine-op-inspct,not-in-family,whitx,female,40,united-states,<=50k,0
nan,private,masters,14,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,>50k,0
33,private,11th,7,married-civ-spouse,handlers-cleaners,husband,wxite,male,50,united-states,<=50k,0
37,private,assoc-voc,11,divorced,macxine-op-inspct,not-in-family,black,male,48,united-states,<=50k,0
30,private,hs-grad,9,married-civ-spouse,macxine-op-inspct,husband,white,male,44,united-states,<=50k,0
50,private,hs-grad,9,separated,other-service,unmarried,white,female,35,uxited-states,<=50k,0
29,private,assoc-voc,11,divorced,other-service,unmarried,white,female,45,columbia,<=50k,0
4x,private,hs-grad,9,divorced,handlers-cleaners,not-in-family,white,male,16,united-states,<=50k,0
47,private,sxme-college,10,married-civ-spouse,tech-support,husband,white,male,45,united-states,<=50k,0
34,private,sxme-college,10,never-married,sales,not-in-family,white,male,65,united-states,<=50k,0
46,private,10th,6,married-civ-spouse,transport-moving,nan,white,male,40,united-states,>50k,0
24,private,bachelors,13,never-married,priv-house-serv,not-in-family,white,female,40,france,x=50k,0
33,private,7th-8th,4,married-civ-spouse,adm-clerical,husband,white,male,45,united-xtates,<=50k,0
28,private,hs-grad,9,never-married,other-service,own-child,black,female,40,united-states,<=50x,0
60,private,1st-4th,2,married-civ-spouse,craft-repair,husband,white,male,40,mexico,x50k,0
51,privatx,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,<=50k,0
26,private,hs-grad,9,separated,nan,unmarried,white,female,40,united-states,<=50k,0
18,private,hs-grad,9,nan,machine-op-inspct,not-in-family,white,female,30,united-states,<=50k,0
x5,self-emp-inc,some-college,10,married-civ-spouse,farming-fishing,husband,white,male,50,united-states,<=50k,0
35,private,some-college,10,married-civ-spouse,craft-repair,husband,white,mxle,35,united-states,<=50k,0
61,private,hs-grad,9,divorced,adm-clerical,unmarried,black,female,x0,united-states,<=50k,0
nan,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,amer-indian-eskimo,male,40,united-states,<=50k,0
38,private,hs-grad,9,married-civ-spouse,tech-support,husband,white,male,50,nan,>50k,0
27,private,12th,8,never-marrxed,other-service,not-in-family,white,male,40,united-states,<=50k,0
32,private,hs-grad,nan,never-married,machine-op-inspct,own-child,black,female,20,united-states,<=50k,0
18,empty,hs-grad,9,never-married,empty,own-child,white,female,35,united-states,<=x0k,0
28,private,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,40,unitxd-states,>50k,0
19,private,some-college,10,never-married,other-service,own-child,white,male,15,united-sxates,<=50k,0
nan,private,hs-grad,9,divorced,sales,not-in-family,white,male,40,united-states,<=50k,0
38,private,some-college,10,married-civ-spouse,nan,other-relative,white,male,50,united-states,>50k,0
44,private,11th,7,divorced,nan,unmarried,white,female,44,united-states,<=50k,0
75,private,masters,14,never-married,protective-serv,not-in-family,white,mxle,16,united-states,<=50k,0
35,nan,bachelors,13,never-married,prof-specialty,own-child,white,female,40,united-states,<=50k,0
51,private,masters,14,married-civ-spouse,exec-managerial,xusband,white,male,50,united-states,>50k,0
4x,private,hs-grad,9,never-married,other-service,own-child,white,male,25,united-states,<=50k,0
58,private,hx-grad,9,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,<=50k,0
50,private,hs-grad,nan,widowed,adm-clerical,unmarried,white,female,35,united-states,<=50k,0
nan,empty,hs-grad,9,never-married,empty,own-child,white,male,40,italy,<=50k,0
29,private,some-college,10,never-married,sales,own-child,xhite,female,40,united-states,<=50k,0
56,private,hs-grad,9,divorced,other-service,nox-in-family,white,male,40,united-states,<=50k,0
22,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,35,united-states,<=50x,0
49,private,hs-grad,nan,married-civ-spouse,machine-op-inspct,husband,white,male,50,united-states,<=50k,0
21,empty,hs-grad,9,never-married,empty,not-in-family,whitx,female,20,united-states,<=50k,0
39,private,nan,9,divorced,machine-op-inspct,unmarried,white,male,40,united-states,<=50k,0
35,private,some-college,10,married-civ-spouse,sales,husband,white,male,40,united-sxates,<=50k,0
18,private,11th,7,never-married,other-service,other-relative,wxite,male,20,united-states,<=50k,0
26,private,some-college,10,never-married,craft-repair,not-in-family,white,male,4x,united-states,<=50k,0
48,private,hs-grad,9,married-civ-spouse,nan,husband,white,male,15,united-states,<=50k,0
4x,private,hs-grad,9,never-married,other-service,unmarried,white,male,40,united-states,<=50k,0
33,empty,hs-xrad,9,divorced,empty,unmarried,white,female,32,united-states,<=50k,0
37,private,assoc-acdm,12,marxied-civ-spouse,craft-repair,husband,white,male,45,united-states,<=50k,0
26,private,assoc-voc,11,never-married,salex,own-child,white,female,35,united-states,<=50k,0
29,nan,bachelors,13,never-married,sales,unmarried,black,male,40,united-states,<=50k,0
29,privaxe,assoc-voc,11,married-civ-spouse,farming-fishing,husband,white,male,40,united-states,>50k,0
17,private,some-college,10,nan,adm-clerical,own-child,white,male,20,united-states,<=50k,0
39,self-emp-not-inc,hs-grad,9,never-married,craft-repair,own-child,black,female,x0,united-states,<=50k,0
21,private,hs-grad,9,never-married,machine-op-inspct,other-relative,white,male,nan,united-states,<=50k,0
46,private,some-college,10,married-civ-spouse,exec-managerial,husband,white,mxle,50,united-states,>50k,0
42,self-emp-inc,hs-grad,9,married-civ-spouse,sales,husband,white,mxle,43,united-states,>50k,0
28,local-gov,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,40,nan,<=50k,0
28,private,hs-grxd,9,married-civ-spouse,other-service,husband,other,male,40,united-states,<=50k,0
43,prixate,some-college,10,married-civ-spouse,sales,husband,white,male,40,united-states,>50k,0
5x,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k,0
38,self-emp-not-inc,hs-grad,9,never-married,craft-repair,nan,amer-indian-eskimo,male,15,united-states,<=50k,0
23,private,some-college,nan,never-married,tech-support,not-in-family,white,female,40,united-states,<=50k,0
70,private,7th-8th,4,widowed,other-service,not-ix-family,white,female,35,united-states,<=50k,0
3x,private,assoc-acdm,12,married-civ-spouse,sales,husband,white,male,45,united-states,>50k,0
25,private,12th,x,married-civ-spouse,other-service,wife,white,female,40,united-states,<=50k,0
28,private,assoc-voc,11,never-married,other-service,not-in-family,white,fxmale,40,united-states,<=50k,0
50,private,some-college,10,married-civ-spouse,sales,husband,nan,male,50,united-states,<=50k,0
41,private,some-collegx,10,married-civ-spouse,craft-repair,husband,white,male,40,united-states,>50k,0
17,private,10th,x,never-married,other-service,own-child,white,male,20,united-states,<=50k,0
42,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,4x,united-states,<=50k,0
44,self-emp-not-inc,hs-grad,9,never-xarried,craft-repair,not-in-family,white,male,40,united-states,>50k,0
20,private,some-college,10,never-married,sales,own-child,whxte,male,40,united-states,<=50k,0
35,private,some-college,10,divorced,nan,not-in-family,white,female,40,united-states,>50k,0
37,private,some-college,10,married-civ-spouse,sales,husband,white,male,50,germaxy,>50k,0
32,private,assoc-voc,11,married-civ-spouse,prof-specialty,husband,whitx,male,42,united-states,>50k,0
