age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,hoursperweek,country,income
63,federal-gov,doctorate,16,divorced,exec-managerial,not-in-family,white,female,60,united-states,>50k
53,private,hs-grad,9,never-married,sales,not-in-family,white,male,48,united-states,>50k
51,private,prof-school,15,never-married,prof-specialty,not-in-family,white,female,50,united-states,>50k
37,self-emp-not-inc,doctorate,16,never-married,prof-specialty,not-in-family,white,female,60,united-states,>50k
54,private,masters,14,divorced,prof-specialty,not-in-family,white,female,40,united-states,>50k
44,private,bachelors,13,divorced,exec-managerial,unmarried,white,male,50,united-states,>50k
43,private,masters,14,divorced,exec-managerial,unmarried,white,female,40,united-states,>50k
51,private,some-college,10,divorced,adm-clerical,unmarried,white,female,40,united-states,>50k
43,private,masters,14,divorced,prof-specialty,unmarried,white,female,40,united-states,>50k
71,empty,hs-grad,9,married-civ-spouse,empty,husband,white,male,15,united-states,<=50k
48,private,bachelors,13,married-spouse-absent,sales,unmarried,white,female,70,united-states,>50k
71,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,52,united-states,<=50k
73,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,asian-pac-islander,male,40,vietnam,<=50k
68,empty,some-college,10,married-civ-spouse,empty,wife,white,female,40,united-states,<=50k
67,empty,some-college,10,married-civ-spouse,empty,husband,white,male,40,united-states,<=50k
40,self-emp-not-inc,prof-school,15,never-married,prof-specialty,not-in-family,white,male,45,united-states,>50k
50,private,hs-grad,9,widowed,sales,not-in-family,white,female,72,united-states,>50k
51,state-gov,assoc-voc,11,divorced,tech-support,not-in-family,white,male,39,united-states,>50k
42,private,some-college,10,never-married,exec-managerial,not-in-family,white,female,40,united-states,>50k
39,private,masters,14,never-married,sales,not-in-family,white,male,45,united-states,>50k
32,private,bachelors,13,never-married,exec-managerial,other-relative,white,male,50,united-states,>50k
53,private,some-college,10,separated,craft-repair,not-in-family,white,male,45,united-states,>50k
40,local-gov,some-college,10,never-married,protective-serv,not-in-family,white,male,40,united-states,>50k
38,private,bachelors,13,never-married,sales,not-in-family,white,female,45,united-states,>50k
33,private,assoc-voc,11,separated,craft-repair,not-in-family,white,male,42,united-states,>50k
43,private,assoc-acdm,12,divorced,craft-repair,not-in-family,white,male,70,united-states,>50k
50,self-emp-inc,11th,7,never-married,exec-managerial,other-relative,white,male,40,united-states,>50k
44,private,some-college,10,married-civ-spouse,adm-clerical,wife,white,female,6,united-states,>50k
51,self-emp-not-inc,bachelors,13,married-civ-spouse,sales,husband,asian-pac-islander,male,40,china,>50k
41,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,>50k
60,self-emp-inc,assoc-voc,11,married-civ-spouse,machine-op-inspct,husband,white,male,70,empty,>50k
37,private,masters,14,married-civ-spouse,exec-managerial,husband,white,male,60,united-states,>50k
55,self-emp-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,35,greece,>50k
39,self-emp-inc,bachelors,13,married-civ-spouse,sales,husband,white,male,60,united-states,>50k
42,self-emp-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,60,united-states,>50k
49,private,bachelors,13,married-civ-spouse,sales,husband,white,male,55,united-states,>50k
47,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k
41,local-gov,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,45,united-states,>50k
55,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k
39,private,masters,14,married-civ-spouse,exec-managerial,wife,white,female,65,united-states,>50k
42,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,60,united-states,>50k
41,empty,assoc-voc,11,married-civ-spouse,empty,husband,white,male,12,united-states,>50k
46,private,masters,14,married-civ-spouse,sales,husband,white,male,65,united-states,>50k
40,private,masters,14,married-civ-spouse,exec-managerial,husband,white,male,45,united-states,>50k
32,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,48,united-states,>50k
41,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,55,united-states,>50k
60,self-emp-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,80,united-states,>50k
31,private,masters,14,married-civ-spouse,exec-managerial,husband,white,male,70,taiwan,>50k
58,self-emp-not-inc,some-college,10,married-civ-spouse,farming-fishing,husband,white,male,40,united-states,>50k
37,self-emp-inc,bachelors,13,married-civ-spouse,sales,husband,white,male,50,united-states,>50k
44,self-emp-not-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k
39,self-emp-not-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,50,empty,>50k
43,federal-gov,prof-school,15,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,55,empty,>50k
55,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k
44,self-emp-inc,masters,14,married-civ-spouse,prof-specialty,husband,white,male,55,united-states,>50k
39,private,prof-school,15,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,67,india,>50k
46,self-emp-not-inc,bachelors,13,married-civ-spouse,sales,husband,white,male,40,united-states,>50k
39,private,some-college,10,married-civ-spouse,farming-fishing,husband,white,male,99,united-states,>50k
62,self-emp-inc,bachelors,13,married-civ-spouse,farming-fishing,husband,white,male,60,united-states,>50k
31,self-emp-not-inc,hs-grad,9,married-civ-spouse,other-service,wife,white,female,40,united-states,>50k
46,private,bachelors,13,married-civ-spouse,adm-clerical,husband,asian-pac-islander,male,35,philippines,>50k
46,self-emp-not-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,80,united-states,>50k
39,self-emp-inc,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,40,united-states,>50k
39,private,prof-school,15,married-civ-spouse,sales,husband,white,male,99,united-states,>50k
59,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,45,united-states,>50k
50,self-emp-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,60,united-states,>50k
46,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,55,united-states,>50k
53,self-emp-not-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k
50,self-emp-not-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,30,united-states,>50k
41,self-emp-inc,prof-school,15,married-civ-spouse,exec-managerial,wife,white,female,55,united-states,>50k
36,private,bachelors,13,married-civ-spouse,sales,husband,white,male,45,united-states,>50k
38,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,90,united-states,>50k
54,private,some-college,10,married-civ-spouse,sales,husband,white,male,50,united-states,>50k
50,private,bachelors,13,married-civ-spouse,exec-managerial,wife,white,female,20,united-states,>50k
47,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,60,united-states,>50k
47,self-emp-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,45,united-states,>50k
67,private,bachelors,13,widowed,exec-managerial,not-in-family,white,male,40,united-states,>50k
67,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,75,united-states,>50k
72,self-emp-not-inc,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,25,united-states,>50k
72,empty,doctorate,16,married-civ-spouse,empty,husband,white,male,6,united-states,>50k
46,self-emp-inc,masters,14,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k
78,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k
71,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,60,united-states,>50k
83,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,55,united-states,>50k
68,private,masters,14,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k
26,private,assoc-voc,11,married-civ-spouse,adm-clerical,husband,white,male,45,united-states,<=50k
68,state-gov,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,60,united-states,>50k
49,self-emp-inc,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,40,united-states,>50k
36,private,hs-grad,9,married-civ-spouse,prof-specialty,husband,white,male,60,united-states,<=50k
70,self-emp-not-inc,bachelors,13,married-civ-spouse,craft-repair,husband,white,male,12,united-states,>50k
27,private,some-college,10,married-civ-spouse,adm-clerical,wife,black,female,20,united-states,<=50k
35,local-gov,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,<=50k
23,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,40,united-states,<=50k
81,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,26,united-states,>50k
66,self-emp-not-inc,doctorate,16,married-civ-spouse,sales,husband,white,male,25,united-states,>50k
71,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,45,united-states,>50k
68,private,some-college,10,married-civ-spouse,sales,husband,white,male,55,united-states,>50k
68,state-gov,masters,14,married-civ-spouse,prof-specialty,husband,white,male,42,empty,>50k
65,empty,bachelors,13,married-civ-spouse,empty,husband,white,male,40,united-states,>50k
52,private,hs-grad,9,married-civ-spouse,sales,husband,black,male,40,united-states,<=50k
40,self-emp-inc,assoc-acdm,12,married-civ-spouse,craft-repair,husband,white,male,50,united-states,<=50k
68,empty,bachelors,13,married-civ-spouse,empty,husband,white,male,35,united-states,>50k
21,private,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,48,united-states,<=50k
35,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
70,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k
61,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,50,united-states,<=50k
65,self-emp-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,65,united-states,<=50k
46,private,5th-6th,3,divorced,craft-repair,not-in-family,white,female,45,united-states,<=50k
26,local-gov,bachelors,13,never-married,prof-specialty,not-in-family,white,male,55,united-states,<=50k
59,local-gov,hs-grad,9,widowed,farming-fishing,unmarried,white,male,40,united-states,<=50k
61,private,5th-6th,3,never-married,handlers-cleaners,not-in-family,black,male,40,united-states,<=50k
60,state-gov,bachelors,13,divorced,prof-specialty,not-in-family,white,female,40,united-states,<=50k
49,self-emp-inc,some-college,10,divorced,exec-managerial,not-in-family,white,male,50,united-states,<=50k
34,private,bachelors,13,married-spouse-absent,machine-op-inspct,not-in-family,asian-pac-islander,male,40,empty,<=50k
25,private,bachelors,13,never-married,prof-specialty,own-child,white,female,35,united-states,<=50k
55,private,some-college,10,never-married,adm-clerical,not-in-family,black,female,45,empty,<=50k
59,local-gov,hs-grad,9,separated,protective-serv,other-relative,black,female,40,united-states,<=50k
28,state-gov,some-college,10,separated,exec-managerial,own-child,white,male,40,united-states,<=50k
43,empty,assoc-voc,11,widowed,empty,not-in-family,white,female,36,united-states,<=50k
56,self-emp-not-inc,masters,14,divorced,sales,unmarried,white,female,60,united-states,<=50k
41,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,40,united-states,<=50k
42,private,hs-grad,9,never-married,adm-clerical,other-relative,black,female,40,trinadad&tobago,<=50k
28,private,prof-school,15,never-married,prof-specialty,not-in-family,white,male,40,canada,<=50k
40,self-emp-not-inc,prof-school,15,divorced,other-service,not-in-family,white,female,35,united-states,<=50k
69,private,bachelors,13,widowed,prof-specialty,not-in-family,white,male,40,united-states,>50k
66,local-gov,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
69,private,5th-6th,3,married-civ-spouse,machine-op-inspct,husband,white,male,40,united-states,<=50k
55,local-gov,masters,14,married-civ-spouse,prof-specialty,wife,white,female,40,united-states,<=50k
57,federal-gov,hs-grad,9,never-married,adm-clerical,not-in-family,white,male,40,united-states,<=50k
20,self-emp-not-inc,some-college,10,never-married,farming-fishing,own-child,white,male,10,united-states,<=50k
33,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,84,united-states,<=50k
30,self-emp-not-inc,some-college,10,never-married,sales,other-relative,asian-pac-islander,male,40,south,<=50k
40,private,bachelors,13,never-married,tech-support,not-in-family,asian-pac-islander,female,48,philippines,<=50k
38,private,some-college,10,separated,machine-op-inspct,not-in-family,white,male,55,united-states,>50k
46,state-gov,assoc-acdm,12,divorced,adm-clerical,unmarried,white,male,38,united-states,>50k
29,private,bachelors,13,never-married,exec-managerial,not-in-family,white,female,45,united-states,>50k
57,federal-gov,bachelors,13,never-married,adm-clerical,not-in-family,white,male,40,united-states,<=50k
39,private,hs-grad,9,never-married,craft-repair,own-child,white,male,42,united-states,>50k
47,private,bachelors,13,divorced,exec-managerial,not-in-family,white,male,40,united-states,>50k
26,private,bachelors,13,never-married,exec-managerial,not-in-family,white,male,45,united-states,>50k
27,self-emp-not-inc,hs-grad,9,never-married,craft-repair,not-in-family,white,male,50,united-states,<=50k
23,private,bachelors,13,never-married,prof-specialty,own-child,white,female,40,united-states,>50k
34,private,masters,14,never-married,prof-specialty,not-in-family,white,male,50,united-states,<=50k
33,private,12th,8,divorced,craft-repair,not-in-family,white,male,42,united-states,<=50k
38,local-gov,masters,14,never-married,prof-specialty,not-in-family,white,female,60,united-states,<=50k
57,private,some-college,10,widowed,adm-clerical,unmarried,white,female,38,united-states,>50k
36,private,hs-grad,9,never-married,exec-managerial,not-in-family,white,male,70,united-states,<=50k
44,federal-gov,bachelors,13,divorced,tech-support,not-in-family,white,male,40,united-states,>50k
49,state-gov,doctorate,16,never-married,exec-managerial,not-in-family,white,female,50,united-states,>50k
44,self-emp-inc,some-college,10,never-married,sales,not-in-family,white,male,60,united-states,<=50k
55,private,some-college,10,widowed,farming-fishing,not-in-family,white,male,62,united-states,>50k
45,private,hs-grad,9,divorced,farming-fishing,not-in-family,white,male,44,united-states,>50k
48,private,hs-grad,9,divorced,exec-managerial,not-in-family,white,female,40,united-states,>50k
31,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,45,united-states,>50k
55,local-gov,hs-grad,9,married-civ-spouse,prof-specialty,other-relative,white,female,40,united-states,>50k
70,self-emp-not-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k
70,self-emp-not-inc,masters,14,married-civ-spouse,exec-managerial,husband,white,male,8,united-states,>50k
73,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,>50k
72,self-emp-not-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,28,united-states,>50k
31,private,hs-grad,9,separated,machine-op-inspct,unmarried,white,female,40,united-states,<=50k
28,private,10th,6,widowed,adm-clerical,unmarried,white,female,35,united-states,<=50k
23,self-emp-not-inc,bachelors,13,never-married,adm-clerical,own-child,white,male,40,united-states,>50k
49,local-gov,9th,5,widowed,handlers-cleaners,unmarried,white,male,40,united-states,>50k
27,local-gov,some-college,10,never-married,protective-serv,not-in-family,white,male,40,united-states,>50k
90,private,hs-grad,9,never-married,other-service,not-in-family,black,male,40,united-states,<=50k
68,private,hs-grad,9,widowed,adm-clerical,not-in-family,white,female,30,united-states,<=50k
65,private,hs-grad,9,divorced,adm-clerical,unmarried,white,female,59,canada,<=50k
65,empty,hs-grad,9,widowed,empty,unmarried,white,female,10,united-states,<=50k
67,private,bachelors,13,divorced,exec-managerial,not-in-family,white,female,5,united-states,<=50k
66,local-gov,bachelors,13,widowed,prof-specialty,not-in-family,black,female,25,united-states,<=50k
24,private,some-college,10,never-married,adm-clerical,not-in-family,white,male,24,united-states,<=50k
44,self-emp-not-inc,some-college,10,divorced,machine-op-inspct,not-in-family,white,male,35,united-states,<=50k
35,private,some-college,10,never-married,adm-clerical,own-child,white,female,40,united-states,<=50k
20,private,assoc-acdm,12,never-married,other-service,own-child,white,female,18,united-states,<=50k
38,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,40,united-states,<=50k
39,private,some-college,10,never-married,other-service,own-child,black,female,40,united-states,<=50k
32,private,some-college,10,never-married,machine-op-inspct,other-relative,white,female,40,holand-netherlands,<=50k
42,private,7th-8th,4,never-married,handlers-cleaners,not-in-family,black,male,40,united-states,<=50k
63,empty,hs-grad,9,divorced,empty,not-in-family,white,female,40,united-states,<=50k
42,self-emp-inc,masters,14,divorced,exec-managerial,unmarried,asian-pac-islander,male,60,india,>50k
64,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
28,private,7th-8th,4,married-civ-spouse,handlers-cleaners,husband,other,male,40,puerto-rico,<=50k
41,self-emp-inc,assoc-voc,11,married-civ-spouse,sales,husband,other,male,84,mexico,<=50k
41,self-emp-not-inc,7th-8th,4,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
58,self-emp-not-inc,1st-4th,2,married-civ-spouse,transport-moving,husband,white,male,18,united-states,<=50k
59,state-gov,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,<=50k
34,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,wife,white,female,12,united-states,<=50k
45,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,45,united-states,<=50k
29,private,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,40,united-states,<=50k
47,private,10th,6,married-civ-spouse,sales,husband,white,male,52,united-states,<=50k
40,private,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,40,united-states,<=50k
47,self-emp-not-inc,5th-6th,3,married-civ-spouse,sales,husband,white,male,50,mexico,<=50k
63,empty,bachelors,13,married-civ-spouse,empty,husband,white,male,45,united-states,<=50k
41,self-emp-not-inc,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,<=50k
34,private,some-college,10,married-civ-spouse,transport-moving,husband,black,male,40,united-states,<=50k
66,empty,bachelors,13,married-civ-spouse,empty,husband,white,male,40,united-states,>50k
65,self-emp-not-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,10,united-states,>50k
70,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,>50k
75,self-emp-not-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,50,united-states,>50k
65,state-gov,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,40,united-states,>50k
65,federal-gov,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,40,united-states,>50k
73,private,some-college,10,married-civ-spouse,prof-specialty,husband,white,male,50,united-states,>50k
60,empty,bachelors,13,married-civ-spouse,empty,husband,asian-pac-islander,male,25,south,<=50k
68,self-emp-not-inc,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,<=50k
74,self-emp-not-inc,hs-grad,9,married-civ-spouse,sales,husband,white,male,20,united-states,<=50k
43,private,5th-6th,3,married-civ-spouse,machine-op-inspct,wife,asian-pac-islander,female,72,empty,<=50k
19,self-emp-not-inc,11th,7,married-civ-spouse,craft-repair,own-child,white,male,55,united-states,<=50k
37,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
45,federal-gov,assoc-acdm,12,divorced,adm-clerical,unmarried,asian-pac-islander,male,40,philippines,<=50k
64,private,masters,14,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,60,china,<=50k
30,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k
51,self-emp-not-inc,some-college,10,married-civ-spouse,prof-specialty,wife,white,female,60,canada,<=50k
35,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
29,private,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,20,united-states,<=50k
34,private,some-college,10,married-civ-spouse,adm-clerical,wife,white,female,40,united-states,<=50k
41,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,60,united-states,<=50k
35,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,45,united-states,<=50k
26,private,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,40,united-states,<=50k
54,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,50,united-states,<=50k
52,local-gov,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
50,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,20,united-states,<=50k
31,private,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,40,united-states,<=50k
38,federal-gov,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k
30,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
34,local-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,<=50k
31,private,some-college,10,married-civ-spouse,sales,husband,white,male,57,united-states,<=50k
52,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,38,united-states,<=50k
54,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
38,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,44,united-states,<=50k
39,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,40,united-states,<=50k
29,private,assoc-voc,11,married-civ-spouse,tech-support,husband,white,male,40,united-states,<=50k
45,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
34,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,55,united-states,<=50k
38,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,poland,<=50k
39,private,10th,6,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
61,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,20,united-states,<=50k
43,private,11th,7,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k
35,private,some-college,10,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,<=50k
46,private,some-college,10,married-civ-spouse,sales,husband,white,male,50,united-states,<=50k
38,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,<=50k
42,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,48,united-states,<=50k
34,private,assoc-acdm,12,married-civ-spouse,tech-support,husband,white,male,10,united-states,<=50k
29,private,7th-8th,4,married-civ-spouse,farming-fishing,husband,white,male,40,united-states,<=50k
32,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,30,united-states,<=50k
60,private,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,34,united-states,<=50k
49,local-gov,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
53,local-gov,hs-grad,9,married-civ-spouse,other-service,husband,white,male,45,united-states,<=50k
56,private,7th-8th,4,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,<=50k
48,private,11th,7,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k
32,federal-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,40,iran,<=50k
42,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
32,private,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,42,united-states,<=50k
28,local-gov,assoc-acdm,12,married-civ-spouse,protective-serv,husband,white,male,40,england,<=50k
26,private,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
59,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,<=50k
47,self-emp-not-inc,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,30,united-states,<=50k
26,empty,bachelors,13,married-civ-spouse,empty,husband,white,male,40,united-states,<=50k
41,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,60,united-states,<=50k
36,private,hs-grad,9,married-civ-spouse,craft-repair,own-child,white,female,40,united-states,<=50k
45,private,bachelors,13,married-civ-spouse,sales,husband,white,male,55,united-states,<=50k
30,private,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,<=50k
36,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k
34,self-emp-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,<=50k
53,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k
51,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,45,united-states,<=50k
47,self-emp-not-inc,doctorate,16,married-civ-spouse,transport-moving,husband,white,male,45,united-states,<=50k
19,empty,hs-grad,9,never-married,empty,unmarried,white,male,40,united-states,<=50k
30,private,hs-grad,9,never-married,adm-clerical,unmarried,white,male,42,united-states,<=50k
20,private,hs-grad,9,never-married,other-service,unmarried,white,male,40,united-states,<=50k
42,federal-gov,masters,14,divorced,adm-clerical,not-in-family,white,male,60,united-states,<=50k
31,private,11th,7,never-married,craft-repair,not-in-family,white,male,40,united-states,<=50k
