age,workclass,fnlwgt,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,income,label
51,private,123011,bachelors,13,divorced,exec-managerial,not-in-family,white,male,0,2559,50,united-states,>50k,1
60,self-emp-not-inc,205246,hs-grad,9,never-married,exec-managerial,not-in-family,black,male,0,2559,50,united-states,>50k,1
63,federal-gov,39181,doctorate,16,divorced,exec-managerial,not-in-family,white,female,0,2559,60,united-states,>50k,1
53,private,149650,hs-grad,9,never-married,sales,not-in-family,white,male,0,2559,48,united-states,>50k,1
51,private,197163,prof-school,15,never-married,prof-specialty,not-in-family,white,female,0,2559,50,united-states,>50k,1
37,self-emp-not-inc,137527,doctorate,16,never-married,prof-specialty,not-in-family,white,female,0,2559,60,united-states,>50k,1
54,private,161691,masters,14,divorced,prof-specialty,not-in-family,white,female,0,2559,40,united-states,>50k,1
44,private,326232,bachelors,13,divorced,exec-managerial,unmarried,white,male,0,2547,50,united-states,>50k,1
43,private,115806,masters,14,divorced,exec-managerial,unmarried,white,female,0,2547,40,united-states,>50k,1
51,private,115066,some-college,10,divorced,adm-clerical,unmarried,white,female,0,2547,40,united-states,>50k,1
43,private,289669,masters,14,divorced,prof-specialty,unmarried,white,female,0,2547,40,united-states,>50k,1
71,empty,100820,hs-grad,9,married-civ-spouse,empty,husband,white,male,0,2489,15,united-states,<=50k,1
48,private,121253,bachelors,13,married-spouse-absent,sales,unmarried,white,female,0,2472,70,united-states,>50k,1
71,private,110380,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,2467,52,united-states,<=50k,1
73,self-emp-not-inc,233882,hs-grad,9,married-civ-spouse,farming-fishing,husband,asian-pac-islander,male,0,2457,40,vietnam,<=50k,1
68,empty,192052,some-college,10,married-civ-spouse,empty,wife,white,female,0,2457,40,united-states,<=50k,1
67,empty,174995,some-college,10,married-civ-spouse,empty,husband,white,male,0,2457,40,united-states,<=50k,1
40,self-emp-not-inc,335549,prof-school,15,never-married,prof-specialty,not-in-family,white,male,0,2444,45,united-states,>50k,1
50,private,237729,hs-grad,9,widowed,sales,not-in-family,white,female,0,2444,72,united-states,>50k,1
51,state-gov,68898,assoc-voc,11,divorced,tech-support,not-in-family,white,male,0,2444,39,united-states,>50k,1
42,private,107276,some-college,10,never-married,exec-managerial,not-in-family,white,female,0,2444,40,united-states,>50k,1
39,private,141584,masters,14,never-married,sales,not-in-family,white,male,0,2444,45,united-states,>50k,1
32,private,207668,bachelors,13,never-married,exec-managerial,other-relative,white,male,0,2444,50,united-states,>50k,1
53,private,313243,some-college,10,separated,craft-repair,not-in-family,white,male,0,2444,45,united-states,>50k,1
40,local-gov,147372,some-college,10,never-married,protective-serv,not-in-family,white,male,0,2444,40,united-states,>50k,1
38,private,237608,bachelors,13,never-married,sales,not-in-family,white,female,0,2444,45,united-states,>50k,1
33,private,194901,assoc-voc,11,separated,craft-repair,not-in-family,white,male,0,2444,42,united-states,>50k,1
43,private,155106,assoc-acdm,12,divorced,craft-repair,not-in-family,white,male,0,2444,70,united-states,>50k,1
50,self-emp-inc,121441,11th,7,never-married,exec-managerial,other-relative,white,male,0,2444,40,united-states,>50k,1
44,private,162028,some-college,10,married-civ-spouse,adm-clerical,wife,white,female,0,2415,6,united-states,>50k,1
51,self-emp-not-inc,160724,bachelors,13,married-civ-spouse,sales,husband,asian-pac-islander,male,0,2415,40,china,>50k,1
41,private,132222,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,40,united-states,>50k,1
60,self-emp-inc,226355,assoc-voc,11,married-civ-spouse,machine-op-inspct,husband,white,male,0,2415,70,empty,>50k,1
37,private,329980,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,2415,60,united-states,>50k,1
55,self-emp-inc,124137,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,35,greece,>50k,1
39,self-emp-inc,329980,bachelors,13,married-civ-spouse,sales,husband,white,male,0,2415,60,united-states,>50k,1
42,self-emp-inc,187702,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,60,united-states,>50k,1
49,private,199029,bachelors,13,married-civ-spouse,sales,husband,white,male,0,2415,55,united-states,>50k,1
47,self-emp-not-inc,145290,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,2415,50,united-states,>50k,1
41,local-gov,297248,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,45,united-states,>50k,1
55,self-emp-inc,227856,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2415,50,united-states,>50k,1
39,private,179731,masters,14,married-civ-spouse,exec-managerial,wife,white,female,0,2415,65,united-states,>50k,1
42,private,154374,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2415,60,united-states,>50k,1
41,empty,27187,assoc-voc,11,married-civ-spouse,empty,husband,white,male,0,2415,12,united-states,>50k,1
46,private,326857,masters,14,married-civ-spouse,sales,husband,white,male,0,2415,65,united-states,>50k,1
40,private,160369,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,2415,45,united-states,>50k,1
32,private,396745,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,2415,48,united-states,>50k,1
41,self-emp-inc,151089,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,2415,55,united-states,>50k,1
60,self-emp-inc,336188,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,80,united-states,>50k,1
31,private,279015,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,2415,70,taiwan,>50k,1
58,self-emp-not-inc,43221,some-college,10,married-civ-spouse,farming-fishing,husband,white,male,0,2415,40,united-states,>50k,1
37,self-emp-inc,30529,bachelors,13,married-civ-spouse,sales,husband,white,male,0,2415,50,united-states,>50k,1
44,self-emp-not-inc,201742,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2415,50,united-states,>50k,1
39,self-emp-not-inc,218490,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,50,empty,>50k,1
43,federal-gov,156996,prof-school,15,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,2415,55,empty,>50k,1
55,self-emp-inc,298449,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2415,50,united-states,>50k,1
44,self-emp-inc,191712,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,2415,55,united-states,>50k,1
39,private,198654,prof-school,15,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,2415,67,india,>50k,1
46,self-emp-not-inc,102308,bachelors,13,married-civ-spouse,sales,husband,white,male,0,2415,40,united-states,>50k,1
39,private,348521,some-college,10,married-civ-spouse,farming-fishing,husband,white,male,0,2415,99,united-states,>50k,1
62,self-emp-inc,56248,bachelors,13,married-civ-spouse,farming-fishing,husband,white,male,0,2415,60,united-states,>50k,1
31,self-emp-not-inc,252752,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,2415,40,united-states,>50k,1
46,private,192963,bachelors,13,married-civ-spouse,adm-clerical,husband,asian-pac-islander,male,0,2415,35,philippines,>50k,1
46,self-emp-not-inc,198759,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,80,united-states,>50k,1
39,self-emp-inc,143123,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,0,2415,40,united-states,>50k,1
39,private,237713,prof-school,15,married-civ-spouse,sales,husband,white,male,0,2415,99,united-states,>50k,1
59,private,81929,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,2415,45,united-states,>50k,1
50,self-emp-inc,167793,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,60,united-states,>50k,1
46,private,456062,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,2415,55,united-states,>50k,1
53,self-emp-not-inc,105478,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2415,40,united-states,>50k,1
50,self-emp-not-inc,42402,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,30,united-states,>50k,1
41,self-emp-inc,114580,prof-school,15,married-civ-spouse,exec-managerial,wife,white,female,0,2415,55,united-states,>50k,1
36,private,346478,bachelors,13,married-civ-spouse,sales,husband,white,male,0,2415,45,united-states,>50k,1
38,private,187870,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,90,united-states,>50k,1
54,private,35576,some-college,10,married-civ-spouse,sales,husband,white,male,0,2415,50,united-states,>50k,1
50,private,102346,bachelors,13,married-civ-spouse,exec-managerial,wife,white,female,0,2415,20,united-states,>50k,1
47,private,148995,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2415,60,united-states,>50k,1
47,self-emp-inc,102308,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2415,45,united-states,>50k,1
67,private,105252,bachelors,13,widowed,exec-managerial,not-in-family,white,male,0,2392,40,united-states,>50k,1
67,self-emp-inc,106175,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2392,75,united-states,>50k,1
72,self-emp-not-inc,52138,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,2392,25,united-states,>50k,1
72,empty,118902,doctorate,16,married-civ-spouse,empty,husband,white,male,0,2392,6,united-states,>50k,1
46,self-emp-inc,191978,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,2392,50,united-states,>50k,1
78,self-emp-inc,188044,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2392,40,united-states,>50k,1
71,self-emp-inc,66624,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2392,60,united-states,>50k,1
83,self-emp-inc,153183,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2392,55,united-states,>50k,1
68,private,211287,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,2392,40,united-states,>50k,1
26,private,181655,assoc-voc,11,married-civ-spouse,adm-clerical,husband,white,male,0,2377,45,united-states,<=50k,1
68,state-gov,235882,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,2377,60,united-states,>50k,1
49,self-emp-inc,158685,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,2377,40,united-states,>50k,1
36,private,370767,hs-grad,9,married-civ-spouse,prof-specialty,husband,white,male,0,2377,60,united-states,<=50k,1
70,self-emp-not-inc,155141,bachelors,13,married-civ-spouse,craft-repair,husband,white,male,0,2377,12,united-states,>50k,1
27,private,156516,some-college,10,married-civ-spouse,adm-clerical,wife,black,female,0,2377,20,united-states,<=50k,1
35,local-gov,177305,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,2377,40,united-states,<=50k,1
23,private,162945,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,2377,40,united-states,<=50k,1
81,private,177408,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,2377,26,united-states,>50k,1
66,self-emp-not-inc,427422,doctorate,16,married-civ-spouse,sales,husband,white,male,0,2377,25,united-states,>50k,1
71,private,152307,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,2377,45,united-states,>50k,1
68,private,218637,some-college,10,married-civ-spouse,sales,husband,white,male,0,2377,55,united-states,>50k,1
68,state-gov,202699,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,2377,42,empty,>50k,1
65,empty,240857,bachelors,13,married-civ-spouse,empty,husband,white,male,0,2377,40,united-states,>50k,1
52,private,222405,hs-grad,9,married-civ-spouse,sales,husband,black,male,0,2377,40,united-states,<=50k,1
40,self-emp-inc,110862,assoc-acdm,12,married-civ-spouse,craft-repair,husband,white,male,0,2377,50,united-states,<=50k,1
68,empty,257269,bachelors,13,married-civ-spouse,empty,husband,white,male,0,2377,35,united-states,>50k,1
21,private,377931,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,2377,48,united-states,<=50k,1
35,private,192923,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,2377,40,united-states,<=50k,1
70,self-emp-inc,207938,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2377,50,united-states,>50k,1
61,self-emp-not-inc,36671,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,2352,50,united-states,<=50k,1
65,self-emp-inc,81413,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,2352,65,united-states,<=50k,1
46,private,214955,5th-6th,3,divorced,craft-repair,not-in-family,white,female,0,2339,45,united-states,<=50k,1
26,local-gov,166295,bachelors,13,never-married,prof-specialty,not-in-family,white,male,0,2339,55,united-states,<=50k,1
59,local-gov,147707,hs-grad,9,widowed,farming-fishing,unmarried,white,male,0,2339,40,united-states,<=50k,1
61,private,43554,5th-6th,3,never-married,handlers-cleaners,not-in-family,black,male,0,2339,40,united-states,<=50k,1
60,state-gov,358893,bachelors,13,divorced,prof-specialty,not-in-family,white,female,0,2339,40,united-states,<=50k,1
49,self-emp-inc,141058,some-college,10,divorced,exec-managerial,not-in-family,white,male,0,2339,50,united-states,<=50k,1
34,private,25322,bachelors,13,married-spouse-absent,machine-op-inspct,not-in-family,asian-pac-islander,male,0,2339,40,empty,<=50k,1
25,private,77071,bachelors,13,never-married,prof-specialty,own-child,white,female,0,2339,35,united-states,<=50k,1
55,private,158702,some-college,10,never-married,adm-clerical,not-in-family,black,female,0,2339,45,empty,<=50k,1
59,local-gov,171328,hs-grad,9,separated,protective-serv,other-relative,black,female,0,2339,40,united-states,<=50k,1
28,state-gov,381789,some-college,10,separated,exec-managerial,own-child,white,male,0,2339,40,united-states,<=50k,1
43,empty,152569,assoc-voc,11,widowed,empty,not-in-family,white,female,0,2339,36,united-states,<=50k,1
56,self-emp-not-inc,346635,masters,14,divorced,sales,unmarried,white,female,0,2339,60,united-states,<=50k,1
41,private,162140,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,2339,40,united-states,<=50k,1
42,private,191765,hs-grad,9,never-married,adm-clerical,other-relative,black,female,0,2339,40,trinadad&tobago,<=50k,1
28,private,251905,prof-school,15,never-married,prof-specialty,not-in-family,white,male,0,2339,40,canada,<=50k,1
40,self-emp-not-inc,33310,prof-school,15,divorced,other-service,not-in-family,white,female,0,2339,35,united-states,<=50k,1
69,private,228921,bachelors,13,widowed,prof-specialty,not-in-family,white,male,0,2282,40,united-states,>50k,1
66,local-gov,36364,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,2267,40,united-states,<=50k,1
69,private,124930,5th-6th,3,married-civ-spouse,machine-op-inspct,husband,white,male,0,2267,40,united-states,<=50k,1
55,local-gov,176046,masters,14,married-civ-spouse,prof-specialty,wife,white,female,0,2267,40,united-states,<=50k,1
57,federal-gov,370890,hs-grad,9,never-married,adm-clerical,not-in-family,white,male,0,2258,40,united-states,<=50k,1
20,self-emp-not-inc,157145,some-college,10,never-married,farming-fishing,own-child,white,male,0,2258,10,united-states,<=50k,1
33,private,288825,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,2258,84,united-states,<=50k,1
30,self-emp-not-inc,257295,some-college,10,never-married,sales,other-relative,asian-pac-islander,male,0,2258,40,south,<=50k,1
40,private,287983,bachelors,13,never-married,tech-support,not-in-family,asian-pac-islander,female,0,2258,48,philippines,<=50k,1
38,private,101978,some-college,10,separated,machine-op-inspct,not-in-family,white,male,0,2258,55,united-states,>50k,1
46,state-gov,192779,assoc-acdm,12,divorced,adm-clerical,unmarried,white,male,0,2258,38,united-states,>50k,1
29,private,135296,bachelors,13,never-married,exec-managerial,not-in-family,white,female,0,2258,45,united-states,>50k,1
57,federal-gov,199114,bachelors,13,never-married,adm-clerical,not-in-family,white,male,0,2258,40,united-states,<=50k,1
39,private,156897,hs-grad,9,never-married,craft-repair,own-child,white,male,0,2258,42,united-states,>50k,1
47,private,138107,bachelors,13,divorced,exec-managerial,not-in-family,white,male,0,2258,40,united-states,>50k,1
26,private,279833,bachelors,13,never-married,exec-managerial,not-in-family,white,male,0,2258,45,united-states,>50k,1
27,self-emp-not-inc,208577,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,2258,50,united-states,<=50k,1
23,private,102942,bachelors,13,never-married,prof-specialty,own-child,white,female,0,2258,40,united-states,>50k,1
34,private,36385,masters,14,never-married,prof-specialty,not-in-family,white,male,0,2258,50,united-states,<=50k,1
33,private,176185,12th,8,divorced,craft-repair,not-in-family,white,male,0,2258,42,united-states,<=50k,1
38,local-gov,162613,masters,14,never-married,prof-specialty,not-in-family,white,female,0,2258,60,united-states,<=50k,1
57,private,121362,some-college,10,widowed,adm-clerical,unmarried,white,female,0,2258,38,united-states,>50k,1
36,private,145933,hs-grad,9,never-married,exec-managerial,not-in-family,white,male,0,2258,70,united-states,<=50k,1
44,federal-gov,29591,bachelors,13,divorced,tech-support,not-in-family,white,male,0,2258,40,united-states,>50k,1
49,state-gov,269417,doctorate,16,never-married,exec-managerial,not-in-family,white,female,0,2258,50,united-states,>50k,1
44,self-emp-inc,178510,some-college,10,never-married,sales,not-in-family,white,male,0,2258,60,united-states,<=50k,1
55,private,41108,some-college,10,widowed,farming-fishing,not-in-family,white,male,0,2258,62,united-states,>50k,1
45,private,187901,hs-grad,9,divorced,farming-fishing,not-in-family,white,male,0,2258,44,united-states,>50k,1
48,private,175070,hs-grad,9,divorced,exec-managerial,not-in-family,white,female,0,2258,40,united-states,>50k,1
31,private,263561,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2246,45,united-states,>50k,1
55,local-gov,99131,hs-grad,9,married-civ-spouse,prof-specialty,other-relative,white,female,0,2246,40,united-states,>50k,1
70,self-emp-not-inc,143833,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,2246,40,united-states,>50k,1
70,self-emp-not-inc,124449,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,2246,8,united-states,>50k,1
73,private,336007,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,2246,40,united-states,>50k,1
72,self-emp-not-inc,285408,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2246,28,united-states,>50k,1
31,private,327825,hs-grad,9,separated,machine-op-inspct,unmarried,white,female,0,2238,40,united-states,<=50k,1
28,private,129460,10th,6,widowed,adm-clerical,unmarried,white,female,0,2238,35,united-states,<=50k,1
23,self-emp-not-inc,258298,bachelors,13,never-married,adm-clerical,own-child,white,male,0,2231,40,united-states,>50k,1
49,local-gov,102359,9th,5,widowed,handlers-cleaners,unmarried,white,male,0,2231,40,united-states,>50k,1
27,local-gov,92431,some-college,10,never-married,protective-serv,not-in-family,white,male,0,2231,40,united-states,>50k,1
90,private,51744,hs-grad,9,never-married,other-service,not-in-family,black,male,0,2206,40,united-states,<=50k,1
68,private,166149,hs-grad,9,widowed,adm-clerical,not-in-family,white,female,0,2206,30,united-states,<=50k,1
65,private,149811,hs-grad,9,divorced,adm-clerical,unmarried,white,female,0,2206,59,canada,<=50k,1
65,empty,143118,hs-grad,9,widowed,empty,unmarried,white,female,0,2206,10,united-states,<=50k,1
67,private,118363,bachelors,13,divorced,exec-managerial,not-in-family,white,female,0,2206,5,united-states,<=50k,1
66,local-gov,362165,bachelors,13,widowed,prof-specialty,not-in-family,black,female,0,2206,25,united-states,<=50k,1
24,private,379066,some-college,10,never-married,adm-clerical,not-in-family,white,male,0,2205,24,united-states,<=50k,1
44,self-emp-not-inc,171424,some-college,10,divorced,machine-op-inspct,not-in-family,white,male,0,2205,35,united-states,<=50k,1
35,private,108293,some-college,10,never-married,adm-clerical,own-child,white,female,0,2205,40,united-states,<=50k,1
20,private,107801,assoc-acdm,12,never-married,other-service,own-child,white,female,0,2205,18,united-states,<=50k,1
38,private,126675,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,2205,40,united-states,<=50k,1
39,private,155603,some-college,10,never-married,other-service,own-child,black,female,0,2205,40,united-states,<=50k,1
32,private,27882,some-college,10,never-married,machine-op-inspct,other-relative,white,female,0,2205,40,holand-netherlands,<=50k,1
42,private,242564,7th-8th,4,never-married,handlers-cleaners,not-in-family,black,male,0,2205,40,united-states,<=50k,1
63,empty,234083,hs-grad,9,divorced,empty,not-in-family,white,female,0,2205,40,united-states,<=50k,1
42,self-emp-inc,23510,masters,14,divorced,exec-managerial,unmarried,asian-pac-islander,male,0,2201,60,india,>50k,1
64,private,181232,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,2179,40,united-states,<=50k,1
28,private,166481,7th-8th,4,married-civ-spouse,handlers-cleaners,husband,other,male,0,2179,40,puerto-rico,<=50k,1
41,self-emp-inc,139916,assoc-voc,11,married-civ-spouse,sales,husband,other,male,0,2179,84,mexico,<=50k,1
41,self-emp-not-inc,144594,7th-8th,4,married-civ-spouse,craft-repair,husband,white,male,0,2179,40,united-states,<=50k,1
58,self-emp-not-inc,266707,1st-4th,2,married-civ-spouse,transport-moving,husband,white,male,0,2179,18,united-states,<=50k,1
59,state-gov,303176,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,2179,40,united-states,<=50k,1
34,self-emp-not-inc,56460,hs-grad,9,married-civ-spouse,farming-fishing,wife,white,female,0,2179,12,united-states,<=50k,1
45,private,167523,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,2179,45,united-states,<=50k,1
29,private,119004,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,2179,40,united-states,<=50k,1
47,private,175925,10th,6,married-civ-spouse,sales,husband,white,male,0,2179,52,united-states,<=50k,1
40,private,212847,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,0,2179,40,united-states,<=50k,1
47,self-emp-not-inc,191175,5th-6th,3,married-civ-spouse,sales,husband,white,male,0,2179,50,mexico,<=50k,1
63,empty,83043,bachelors,13,married-civ-spouse,empty,husband,white,male,0,2179,45,united-states,<=50k,1
41,self-emp-not-inc,170214,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,2179,40,united-states,<=50k,1
34,private,180714,some-college,10,married-civ-spouse,transport-moving,husband,black,male,0,2179,40,united-states,<=50k,1
66,empty,177351,bachelors,13,married-civ-spouse,empty,husband,white,male,0,2174,40,united-states,>50k,1
65,self-emp-not-inc,111483,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,2174,10,united-states,>50k,1
70,private,282642,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,2174,40,united-states,>50k,1
75,self-emp-not-inc,309955,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,2174,50,united-states,>50k,1
65,state-gov,215908,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,2174,40,united-states,>50k,1
65,federal-gov,23494,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,2174,40,united-states,>50k,1
73,private,147551,some-college,10,married-civ-spouse,prof-specialty,husband,white,male,0,2174,50,united-states,>50k,1
60,empty,141221,bachelors,13,married-civ-spouse,empty,husband,asian-pac-islander,male,0,2163,25,south,<=50k,1
68,self-emp-not-inc,116903,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,0,2149,40,united-states,<=50k,1
74,self-emp-not-inc,119129,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,2149,20,united-states,<=50k,1
43,private,143582,5th-6th,3,married-civ-spouse,machine-op-inspct,wife,asian-pac-islander,female,0,2129,72,empty,<=50k,1
19,self-emp-not-inc,342384,11th,7,married-civ-spouse,craft-repair,own-child,white,male,0,2129,55,united-states,<=50k,1
37,self-emp-not-inc,68899,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,2129,40,united-states,<=50k,1
45,federal-gov,207107,assoc-acdm,12,divorced,adm-clerical,unmarried,asian-pac-islander,male,0,2080,40,philippines,<=50k,1
64,private,149044,masters,14,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,2057,60,china,<=50k,1
30,private,148524,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,2057,40,united-states,<=50k,1
51,self-emp-not-inc,268639,some-college,10,married-civ-spouse,prof-specialty,wife,white,female,0,2057,60,canada,<=50k,1
35,private,272019,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,2057,40,united-states,<=50k,1
29,private,239753,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,2057,20,united-states,<=50k,1
34,private,199864,some-college,10,married-civ-spouse,adm-clerical,wife,white,female,0,2057,40,united-states,<=50k,1
41,private,125831,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,2051,60,united-states,<=50k,1
